"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","Classification","R","G","B","NIR"
460751.03,5262530.43,0.99,31053,2,2,0,31097,28270,27756,33409
460751.07,5262530.18,1.46,29910,3,3,0,29812,26985,26471,31787
460751.33,5262528.88,0.84,29765,3,3,0,28270,25700,25186,31589
460751.53,5262527.86,0,30126,2,2,2,21845,21845,22359,24391
460751.95,5262525.66,0,30391,2,2,2,21588,22102,25443,11539
460752.03,5262525.23,0.81,31296,2,2,0,41891,41634,43433,14360
460751.97,5262525.46,3.2,29149,1,2,0,24672,23901,26214,13904
460752.07,5262524.96,2.79,29244,1,2,0,30326,29041,30583,19855
460751.99,5262525.32,5.49,29189,1,2,0,35980,34695,33924,17332
460752.46,5262523.04,0,31617,2,2,2,28527,25957,25957,27878
460752.05,5262524.99,5.6,27937,1,2,0,27499,27242,30583,16115
460752.74,5262521.57,0.33,31836,1,1,0,16191,16705,19532,12080
460752.83,5262521.11,0,31984,1,1,2,24672,23901,23901,22859
460752.83,5262521.1,0.91,31954,1,1,0,35209,33410,31354,25311
460750.99,5262529.9,24.85,28851,1,2,0,24415,23387,23644,17290
460753.07,5262519.86,0.48,31502,2,2,0,25700,23387,24929,26335
460753.17,5262519.36,0.01,31194,3,3,0,38293,36237,35723,25820
460751.13,5262529.22,24.49,29454,2,3,0,32639,30326,30583,20937
460753.23,5262519.03,0.25,30545,3,3,0,29298,26985,26471,24935
460751.28,5262528.45,23.26,28684,2,3,0,34438,32896,32639,24479
460753.24,5262518.98,0.97,29002,2,2,0,35209,32896,33153,28231
460751.28,5262528.33,27.27,28222,2,3,0,31354,28784,28527,31119
460750.8,5262530.61,33.62,30824,1,3,0,39064,36237,35723,25641
460750.98,5262529.75,31.47,28973,2,3,0,35723,33153,32639,28053
460753.74,5262516.41,0.26,30447,3,3,0,25700,24672,24415,28613
460751.05,5262529.41,31.63,28062,2,3,0,31097,29041,28527,33748
460750.88,5262530.2,33.65,30473,1,3,0,34952,32382,31868,25323
460753.81,5262516.02,0,31659,3,3,2,26214,25443,26728,26987
460750.78,5262530.65,37.12,28855,2,2,0,28784,27499,26985,32730
460750.82,5262530.43,37.6,29644,2,2,0,30069,28013,28013,30286
460750.85,5262530.23,38.09,28016,2,3,0,32382,29555,29298,31300
460750.97,5262529.64,37.26,29942,1,4,0,32896,30840,30069,27253
460751.48,5262527.16,30.92,28566,2,4,0,30069,28013,27499,28861
460752.52,5262522.12,19.18,28848,3,4,0,28527,27242,26471,28733
460754.28,5262513.61,0,29353,2,2,2,30326,28270,28013,26161
460751.31,5262527.94,34.89,29618,1,3,0,30583,29041,29555,26887
460751.14,5262528.73,37.88,30152,2,3,0,35466,33667,33924,27240
460750.82,5262530.27,41.56,29090,1,3,0,22616,21845,23387,21451
460754.5,5262512.49,0.02,31017,3,3,0,20303,17990,20817,16775
460751.61,5262526.46,32.92,29274,2,3,0,29298,28013,29041,13878
460751,5262529.37,41.07,30028,1,4,0,27756,26728,26471,29294
460754.58,5262512.04,0.01,28638,4,4,0,25957,23387,23644,13005
460751.04,5262529.16,41.26,30155,1,3,0,26471,25443,25957,15569
460751.11,5262528.79,41.46,30631,1,2,0,24672,23130,25186,18956
460754.92,5262510.32,0.22,32144,1,1,0,28270,24929,25957,14040
460751.73,5262525.67,38.21,28101,1,2,0,19275,19018,21845,24830
460751.47,5262526.88,41.71,29041,1,2,0,26471,25186,25443,20329
460755.18,5262508.93,0.41,31427,2,2,0,16962,16191,21588,13272
460755.29,5262508.42,0,30916,3,3,2,16705,16191,20817,11217
460751.9,5262524.8,37.75,28101,2,3,0,19275,20046,24929,16531
460751.46,5262526.93,42.64,29123,1,3,0,26728,25443,26471,26957
460751.66,5262525.95,41.42,28737,1,2,0,20303,20560,21845,23436
460755.36,5262508.03,0,31437,2,2,2,22102,21074,24929,12144
460751.6,5262526.19,42.72,30640,1,2,0,24415,23387,23387,28657
460751.7,5262525.68,42.54,29867,1,2,0,20303,19789,21331,24614
460755.3,5262508.23,3.25,29392,2,3,0,55512,53970,51143,15092
460752.33,5262522.61,36.12,30463,1,3,0,16962,16962,19532,15923
460755.58,5262506.88,0.11,29002,3,3,0,18247,15163,21588,12640
460752.41,5262522.23,35.97,30775,1,2,0,20046,20046,22873,18379
460755.29,5262508.26,4.14,28674,2,2,0,52428,49087,45489,12933
460752.5,5262521.73,35.54,29844,1,3,0,18247,17733,21074,16537
460755.29,5262508.26,5.03,30375,2,3,0,39835,36237,39064,10492
460755.8,5262505.74,0.33,31689,3,3,0,37779,35466,34695,16021
460752.38,5262522.26,38.59,30110,1,2,0,25186,24929,24415,18168
460752.87,5262519.91,33.73,29592,2,3,0,29298,28270,28013,23078
460752.46,5262521.88,38.5,30830,1,3,0,30326,29555,28270,19914
460752.6,5262521.15,37.79,29602,1,3,0,21074,20303,22359,21778
460756.09,5262504.22,0.13,31450,1,1,0,45489,40863,38550,21539
460752.77,5262520.29,37.93,30893,1,2,0,30583,29812,28527,25489
460756.17,5262503.85,0.37,29890,2,2,0,26985,24415,26728,17004
460753.79,5262515.33,26.97,28101,2,3,0,11308,12593,18247,10289
460752.91,5262519.55,37.38,29428,1,3,0,22359,21074,22102,16151
460753.84,5262515.07,26.74,29736,2,3,0,11308,12593,18247,11946
460756.31,5262503.12,0.68,28969,3,3,0,15934,15677,19789,10553
460752.98,5262519.2,37.18,29598,1,3,0,28270,25700,26471,19831
460753.9,5262514.76,27.11,29710,2,3,0,14649,15420,19532,12539
460756.4,5262502.64,0.04,29959,3,3,0,21331,21845,24929,10966
460756.6,5262501.65,0.05,31935,2,2,0,12593,13621,20046,9609
460754.23,5262513.09,25.36,28216,1,2,0,15934,15934,19275,13681
460756.67,5262501.24,0,30686,3,3,2,14135,14392,19789,8704
460754.32,5262512.65,25.23,29490,2,3,0,22359,22359,23644,25965
460752.71,5262520.45,43.43,29405,1,3,0,33924,31868,30583,25658
460754.43,5262512.07,24.72,28393,2,3,0,23644,22359,23644,27202
460753.34,5262517.35,37.33,28563,1,3,0,26214,24929,25957,20777
460756.9,5262500.06,0,29536,3,3,2,13107,13878,18504,9585
460752.98,5262519.07,42.14,30234,1,3,0,33153,30069,29041,29674
460753.09,5262518.47,42.35,30791,1,2,0,30840,28527,26728,31045
460757.08,5262499.16,0,29451,2,2,2,17476,17476,21331,16612
460753.23,5262517.76,42.59,30293,1,2,0,35209,32639,33153,26081
460757.22,5262498.41,0,30830,2,2,2,12850,13364,19789,8448
460754.45,5262511.81,30.34,29172,2,3,0,23130,21845,23387,23875
460753.31,5262517.35,42.46,28494,1,3,0,22359,20560,22359,25881
460753.48,5262516.5,41.53,30601,1,1,0,33667,31868,30583,28178
460753.65,5262515.65,40.49,29182,2,2,0,27499,25186,25443,29645
460753.46,5262516.56,42.49,30077,1,2,0,26728,25443,26471,28163
460754.22,5262512.85,35.07,29572,3,3,0,32382,30326,29555,29077
460753.88,5262514.49,38.66,28032,2,3,0,27499,26471,25957,28876
460753.82,5262514.77,40.07,29762,1,3,0,22102,20560,21331,19479
460757.58,5262496.58,0,28474,3,3,2,12336,12593,18761,8100
460754.06,5262513.56,39.18,29736,1,3,0,28527,26985,26985,27519
460754.86,5262509.7,31.12,29834,2,3,0,17476,17476,20560,13119
460754.11,5262513.29,39.67,30844,1,1,0,29812,28527,26985,27550
460755.41,5262506.97,26.62,28674,3,3,0,16191,15934,19018,14913
460754.14,5262513.12,40.25,30214,1,3,0,26471,24929,24672,31645
460755.46,5262506.72,27.1,28242,2,2,0,17219,16962,21074,15434
460757.97,5262494.52,0.1,28776,3,3,0,31611,29041,31097,22994
460755.15,5262508.2,31,30290,2,3,0,20303,20303,23387,14644
460758.04,5262494.14,0.05,28609,3,3,0,13621,14135,20303,14148
460755.3,5262507.4,31.2,29146,3,4,0,16962,17476,21845,17094
460754.39,5262511.8,41.46,29811,2,4,0,25957,25443,26471,18010
460753.91,5262514.14,46.44,27832,1,4,0,23644,23130,24415,23970
460758.18,5262493.42,0.01,30132,4,4,0,13364,14649,20046,10214
460754.07,5262513.31,45.49,28330,1,3,0,24158,23644,24929,22436
460755.5,5262506.38,30.35,28271,3,3,0,17219,16962,20560,12120
460754.04,5262513.46,46.57,30047,1,2,0,34695,32896,32125,24102
460754.51,5262511.18,41.91,28497,2,2,0,21074,19275,21331,19087
460754.69,5262510.25,40.66,29248,2,2,0,27499,26985,27756,20078
460754.17,5262512.74,46.7,27940,1,3,0,23644,23644,25957,29420
460754.81,5262509.65,41.07,30650,1,3,0,18761,19018,21074,13038
460755.1,5262508.23,38.35,31387,1,1,0,19018,18504,21588,12251
460755.16,5262507.88,38.64,29625,2,3,0,18504,18504,21588,21562
460756.13,5262503.18,28.81,27623,2,4,0,13364,14649,19532,14372
460756.33,5262502.22,26.95,28714,3,4,0,13107,13878,18761,0
460756.63,5262500.72,24.91,28543,4,4,0,12336,13364,18247,0
460756.27,5262502.46,28.28,28606,3,4,0,15934,16705,21588,0
460755.11,5262508.1,40.78,29716,1,4,0,18761,18504,22616,0
460756.24,5262502.63,28.6,28324,2,4,0,15677,16448,21331,0
460755.2,5262507.61,40.33,29408,1,4,0,28527,27499,29298,0
460756.28,5262502.4,28.94,29503,2,4,0,12336,13107,17990,0
460756.63,5262500.66,26.25,29310,1,2,0,11822,12336,17990,0
460756.57,5262500.93,27.86,28841,2,3,0,16705,17733,21331,0
460755.33,5262506.95,40.79,28953,1,3,0,25700,25186,28013,0
